TT        PID       AT        CT        IO_D      WT        RT        TRT       
9         3         3         100       0         0         0         6         
9         31        4         98        0         0         0         5         
18        5         5         324       0         4         5         13        
148       14        14        45        2         89        0         134       
148       34        18        40        0         130       -1        130       
160       29        29        30        0         101       91        131       
214       22        22        42        7         150       0         192       
272       20        20        34        3         218       113       252       
275       26        26        23        2         226       75        249       
277       28        28        50        4         199       145       249       
320       7         7         56        4         257       202       313       
323       49        73        142       0         108       0         250       
323       50        73        141       0         250       -1        250       
323       52        84        130       0         189       1         239       
323       53        87        127       0         236       -1        236       
323       54        90        124       0         219       7         233       
323       55        98        122       0         190       175       225       
323       69        278       116       0         30        1         45        
323       70        279       115       0         44        -1        44        
323       72        292       102       0         17        0         31        
323       73        292       101       0         31        -1        31        
323       75        294       99        0         29        -1        29        
323       71        291       103       0         15        1         32        
323       74        293       101       0         30        -1        30        
323       76        302       92        0         19        1         21        
323       56        104       116       0         186       1         219       
323       57        106       114       0         217       -1        217       
323       58        119       101       0         180       0         204       
323       60        120       99        0         203       -1        203       
323       65        262       80        0         57        1         61        
348       19        19        75        0         254       0         329       
351       15        15        86        8         250       9         336       
351       36        25        84        0         326       -1        326       
351       39        27        82        0         324       -1        324       
400       2         2         130       11        268       3         398       
400       33        7         127       0         371       12        393       
400       38        26        108       0         373       202       374       
400       62        228       107       0         172       -1        172       
541       30        30        100       6         411       15        511       
614       8         8         175       6         431       0         606       
614       40        40        143       0         569       33        574       
614       51        77        138       0         537       -1        537       
614       43        44        139       0         554       184       570       
614       63        230       136       0         318       305       384       
614       99        535       135       0         79        -1        79        
614       100       551       133       0         63        -1        63        
614       64        240       126       0         346       1         374       
614       66        263       103       0         342       0         351       
614       67        263       102       0         291       288       351       
614       103       559       93        0         55        -1        55        
614       106       571       81        0         43        -1        43        
614       68        268       97        0         346       -1        346       
643       25        25        86        2         532       276       618       
674       17        17        264       8         393       0         657       
675       16        16        109       1         550       287       659       
719       18        18        233       6         468       30        701       
726       23        23        154       5         549       18        703       
841       11        11        122       5         708       0         830       
841       35        25        107       0         813       203       816       
874       1         1         200       8         673       0         873       
874       32        5         195       0         757       114       869       
874       59        119       194       0         755       -1        755       
874       61        133       180       0         738       1         741       
877       6         6         200       7         671       49        871       
